"lst","num","stop_id","dia"
"Avanza,DIREXIS TUSGSAL,Sagalés (Vallès Oriental)",3,FYT_3793,2025-10-14
"Avanza,DIREXIS TUSGSAL,Sagalés (Vallès Oriental)",3,AMB_106979,2025-10-13
"DIREXIS TUSGSAL,Sagalés (Vallès Oriental)",2,AMB_112480,2025-10-14
"DIREXIS TUSGSAL,Sagalés (Costa)",2,AMB_000950,2025-10-14
"Avanza,Moventis",2,AMB_200030,2025-10-18
"Avanza,Moventis",2,AMB_200250,2025-10-18
"DIREXIS TUSGSAL,Sagalés (Vallès Oriental)",2,AMB_001070,2025-10-14
"Avanza,Moventis",2,AMB_000324,2025-10-13
"Avanza,Moventis",2,AMB_000324,2025-10-14
"Avanza,Moventis",2,AMB_000151,2025-10-14
"Avanza,Moventis",2,AMB_000151,2025-10-13
"Avanza,Moventis",2,AMB_000643,2025-10-13
"Avanza,Moventis",2,AMB_000643,2025-10-14
"Avanza,Moventis",2,AMB_000748,2025-10-13
"Avanza,DIREXIS TUSGSAL",2,FYT_3871,2025-10-14
"Avanza,DIREXIS TUSGSAL",2,FYT_3871,2025-10-15
"Avanza,Moventis",2,AMB_000748,2025-10-14
"DIREXIS TUSGSAL,Sagalés (Vallès Oriental)",2,AMB_000230,2025-10-13
"Avanza,Moventis",2,AMB_000644,2025-10-13
"Avanza,Moventis",2,AMB_000644,2025-10-14
"Avanza,Moventis",2,AMB_000906,2025-10-13
"Avanza,Moventis",2,AMB_000906,2025-10-14
"DIREXIS TUSGSAL,Sagalés (Vallès Oriental)",2,AMB_000230,2025-10-14
"Avanza,Moventis",2,AMB_000645,2025-10-13
"Avanza,Moventis",2,AMB_000645,2025-10-14
"Avanza,Moventis",2,AMB_001411,2025-10-13
"Avanza,Moventis",2,AMB_001411,2025-10-14
"DIREXIS TUSGSAL,Sagalés (Costa)",2,AMB_000950,2025-10-13
"Sagalés (Osona),Urbà de Vic",2,VIC_2016,2025-10-13
"Sagalés (Osona),Urbà de Vic",2,VIC_2016,2025-10-14
"Sagalés (Osona),Urbà de Vic",2,VIC_2392,2025-10-13
"Sagalés (Osona),Urbà de Vic",2,VIC_2392,2025-10-14
"Sagalés (Osona),Urbà de Vic",2,VIC_4044,2025-10-13
"Sagalés (Osona),Urbà de Vic",2,VIC_4044,2025-10-14
"Avanza,Moventis",2,AMB_105425,2025-10-14
"Avanza,DIREXIS TUSGSAL",2,AMB_001210,2025-10-15
"DIREXIS TUSGSAL,Sagalés (Vallès Oriental)",2,AMB_109187,2025-10-14
